[2026-02-08 19:15:55] [INFO    ] discord.client: logging in using static token
[2026-02-08 19:15:55] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-02-08 19:15:55] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-02-08 19:15:55] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1387511916217237614', 'username': 'normal asian gang member', 'avatar': '8de49737ebdbe73f5ffd3066f3b32b53', 'discriminator': '2657', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'de82ba32f51be657e45d2b852eee5699', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-02-08 19:15:56] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-02-08 19:15:56] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-02-08 19:15:56] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1387511916217237614', 'name': 'normal asian gang member', 'icon': '8de49737ebdbe73f5ffd3066f3b32b53', 'description': 'normal asian gang member', 'type': None, 'bot': {'id': '1387511916217237614', 'username': 'normal asian gang member', 'avatar': '8de49737ebdbe73f5ffd3066f3b32b53', 'discriminator': '2657', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'de82ba32f51be657e45d2b852eee5699', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '9a88014a87f10399e78e28ddbb554dd73172372574755f0b6a30602f15a1d071', 'flags': 524288, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '751149636877680792', 'username': 'o.taco', 'avatar': '05f36844a729ee1e404a0cf3ba2a2bd2', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': 5000548, 'global_name': 'oTaco', 'avatar_decoration_data': {'asset': 'a_55393fb776ecc721bc551823d4ea52df', 'sku_id': '1409898407799160963', 'expires_at': None}, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#4c4d64', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 2, 'approximate_user_install_count': 1, 'approximate_user_authorization_count': 1, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 228, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 2, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-02-08 19:15:56] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-02-08 19:15:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-n3mc",{"micros":0.0}]']}}
[2026-02-08 19:15:56] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-02-08 19:15:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-02-08 19:15:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'normal asian gang member', 'primary_guild': None, 'mfa_enabled': False, 'id': '1387511916217237614', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '2657', 'clan': None, 'bot': True, 'avatar': '8de49737ebdbe73f5ffd3066f3b32b53'}, 'session_type': 'normal', 'session_id': '0fb150448865053d2a2c4bcaff41bc3f', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1264709544349536277'}, {'unavailable': True, 'id': '1453535605005881347'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-west', 'santa-clara', 'us-south', 'oregon', 'seattle'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1387511916217237614', 'flags': 524288}, '_trace': ['["gateway-prd-arm-us-east1-c-n3mc",{"micros":137896,"calls":["id_created",{"micros":539,"calls":[]},"session_lookup_time",{"micros":173,"calls":[]},"session_lookup_finished",{"micros":15,"calls":[]},"discord-sessions-prd-2-20",{"micros":136751,"calls":["start_session",{"micros":119828,"calls":["discord-api-rpc-7597894f76-lp7sw",{"micros":61167,"calls":["get_user",{"micros":5411},"get_guilds",{"micros":25420},"send_scheduled_deletion_message",{"micros":23},"guild_join_requests",{"micros":4},"authorized_ip_coro",{"micros":12},"pending_payments",{"micros":1727},"apex_experiments",{"micros":48967},"sessions_experiments",{"micros":7},"user_activities",{"micros":4},"played_application_ids",{"micros":3},"linked_users",{"micros":2},"ad_personalization_toggles_disabled",{"micros":4},"regional_feature_config",{"micros":4}]}]},"starting_guild_connect",{"micros":68,"calls":[]},"presence_started",{"micros":270,"calls":[]},"guilds_started",{"micros":107,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":16434,"calls":[]},"connect_finished",{"micros":16449,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":14,"calls":[]}]}]}]']}}
[2026-02-08 19:15:56] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-08 19:15:56] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 0fb150448865053d2a2c4bcaff41bc3f).
[2026-02-08 19:15:56] [DEBUG   ] discord.client: Dispatching event connect
